,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
14869,CHEMBL572878,Ki,10000.0,nM,CHEMBL4516
14870,CHEMBL572878,Ki,3162.28,nM,CHEMBL3529
14871,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
14872,CHEMBL572878,Ki,30.0,nM,CHEMBL1974
14873,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14874,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14875,CHEMBL572878,Ki,3.162,nM,CHEMBL4722
14876,CHEMBL572878,Ki,1584.89,nM,CHEMBL5251
14877,CHEMBL572878,Ki,3981.07,nM,CHEMBL3009
14878,CHEMBL572878,Ki,251.19,nM,CHEMBL2971
14879,CHEMBL572878,Ki,3981.07,nM,CHEMBL4225
14880,CHEMBL572878,Ki,3981.07,nM,CHEMBL3231
14881,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14882,CHEMBL572878,Ki,0.37,nM,CHEMBL4722
14883,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14884,CHEMBL572878,Ki,0.6,nM,CHEMBL5910
14885,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
14886,CHEMBL572878,Ki,3981.07,nM,CHEMBL5678
14887,CHEMBL572878,Ki,794.33,nM,CHEMBL3650
14888,CHEMBL572878,Ki,398.11,nM,CHEMBL1974
14889,CHEMBL572878,Ki,794.33,nM,CHEMBL2689
14890,CHEMBL572878,Ki,1584.89,nM,CHEMBL1957
14891,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
14892,CHEMBL572878,Ki,3162.28,nM,CHEMBL1991
14893,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14894,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
14895,CHEMBL572878,Ki,794.33,nM,CHEMBL3836
14896,CHEMBL572878,Ki,7943.28,nM,CHEMBL3886
14897,CHEMBL572878,Ki,5011.87,nM,CHEMBL6166
14898,CHEMBL572878,Ki,5011.87,nM,CHEMBL4900
14899,CHEMBL572878,Ki,4.6,nM,CHEMBL3935
14900,CHEMBL572878,Ki,42.0,nM,CHEMBL1862
14901,CHEMBL572878,Ki,7943.28,nM,CHEMBL4282
14902,CHEMBL572878,Ki,3162.28,nM,CHEMBL4630
14903,CHEMBL572878,Ki,18.0,nM,CHEMBL2185
14904,CHEMBL572878,Ki,3162.28,nM,CHEMBL4501
14905,CHEMBL572878,Ki,6309.57,nM,CHEMBL2426
14906,CHEMBL572878,Ki,10000.0,nM,CHEMBL4204
14907,CHEMBL572878,Ki,1000.0,nM,CHEMBL3831
14908,CHEMBL572878,Ki,0.6,nM,CHEMBL4722
14909,CHEMBL572878,Ki,6309.57,nM,CHEMBL4575
14910,CHEMBL572878,Ki,10000.0,nM,CHEMBL4670
